Parameter Name,mean(ppbC),std(ppbC),number of carbon,mean,std
"1,1,2-Trichloro-1,2,2-trifluoroethane",0.1,0,2,0.05,0
"1,2,3-Trimethylbenzene",0.410333333,0.182765788,9,0.045592593,0.02030731
"1,2,4-Trimethylbenzene",0.999,0.478116636,9,0.111,0.053124071
"1,2-Dichlorobenzene",0.06,0.100399203,6,0.01,0.016733201
"1,2-Dichloropropane",0.003,0.009114654,3,0.001,0.003038218
"1,3,5-Trimethylbenzene",0.189666667,0.111772038,9,0.021074074,0.012419115
"1,3-Butadiene",0.128571429,0.114389187,4,0.032142857,0.028597297
"1,4-Dichlorobenzene",0.23,0.134928553,6,0.038333333,0.022488092
1-Butene,0.169,0.076534869,4,0.04225,0.019133717
1-Pentene,0.119666667,0.049929836,5,0.023933333,0.009985967
"2,2,4-Trimethylpentane",1.713,0.941865903,8,0.214125,0.117733238
"2,2-Dimethylbutane",0.270333333,0.126830958,,#DIV/0!,#DIV/0!
"2,3,4-Trimethylpentane",0.494333333,0.271390841,,#DIV/0!,#DIV/0!
"2,3-Dimethylbutane",0.565,0.305125751,,#DIV/0!,#DIV/0!
"2,3-Dimethylpentane",0.938333333,0.496429203,,#DIV/0!,#DIV/0!
"2,4-Dimethylpentane",0.614666667,0.325880593,,#DIV/0!,#DIV/0!
2-Methylheptane,0.275666667,0.14571307,,#DIV/0!,#DIV/0!
2-Methylhexane,0.611666667,0.334633957,,#DIV/0!,#DIV/0!
2-Methylpentane,1.596,0.862116881,6,0.266,0.143686147
3-Methylheptane,0.247666667,0.130296302,,#DIV/0!,#DIV/0!
3-Methylhexane,0.919,0.396496293,,#DIV/0!,#DIV/0!
3-Methylpentane,0.920333333,0.496390303,,#DIV/0!,#DIV/0!
Acetaldehyde,2.683783784,1.082997746,2,1.341891892,0.541498873
Acetone,3.345,2.790486658,3,1.115,0.930162219
Acetylene,2.527,2.027033079,,#DIV/0!,#DIV/0!
Acrolein - Unverified,0.527142857,0.226484521,3,0.175714286,0.07549484
Benzene,1.2866,0.578453564,6,0.214433333,0.096408927
Bromomethane,0,0,,#DIV/0!,#DIV/0!
Carbon tetrachloride,0.086428571,0.014042969,1,0.086428571,0.014042969
Chloroform,0.016285714,0.022078347,1,0.016285714,0.022078347
Cyclohexane,0.431333333,0.218596358,6,0.071888889,0.036432726
Cyclopentane,0.265,0.12623869,5,0.053,0.025247738
Dichlorodifluoromethane,0.4,0,1,0.4,0
Dichloromethane,0.261571429,0.168451048,1,0.261571429,0.168451048
Ethane,16.514,14.17449375,,#DIV/0!,#DIV/0!
Ethylbenzene,0.680108696,0.245282947,8,0.085013587,0.030660368
Ethylene,2.522333333,1.248048638,,#DIV/0!,#DIV/0!
Formaldehyde,3.027027027,1.102338398,1,3.027027027,1.102338398
Isobutane,2.310333333,1.025658689,4,0.577583333,0.256414672
Isopentane,14.77633333,5.83751629,5,2.955266666,1.167503258
Isoprene,0.667333333,0.47208951,5,0.133466667,0.094417902
Isopropylbenzene,0.097666667,0.04446489,9,0.010851852,0.004940543
Methyl chloroform,0,0,2,0,0
Methyl ethyl ketone,0.428571429,0.24629117,4,0.107142857,0.061572793
Methyl tert-butyl ether,0,0,,#DIV/0!,#DIV/0!
Methylcyclohexane,0.564333333,0.307847738,,#DIV/0!,#DIV/0!
Methylcyclopentane,0.961666667,0.522012573,,#DIV/0!,#DIV/0!
Propane,10.43066667,5.144994845,,#DIV/0!,#DIV/0!
Propylene,0.824,0.388148567,3,0.274666667,0.129382856
Styrene,0.4006,0.274310228,8,0.050075,0.034288779
Tetrachloroethylene,0.008285714,0.018802669,2,0.004142857,0.009401335
Toluene,3.6692,1.716224232,7,0.524171429,0.24517489
Trichloroethylene,0.001428571,0.006205588,2,0.000714286,0.003102794
Trichlorofluoromethane,0.2,0,1,0.2,0
Vinyl chloride,0,0,,#DIV/0!,#DIV/0!
"cis-1,3-Dichloropropene",0.2,0,,#DIV/0!,#DIV/0!
cis-2-Butene,0.047,0.022916641,,#DIV/0!,#DIV/0!
cis-2-Pentene,0.055666667,0.032976829,5,0.011133333,0.006595366
m-Diethylbenzene,0.141,0.076489801,,#DIV/0!,#DIV/0!
m-Ethyltoluene,0.446333333,0.238797033,,#DIV/0!,#DIV/0!
m/p Xylene,1.9811,1.063195959,8,0.2476375,0.132899495
n-Butane,4.15,1.777871645,4,1.0375,0.444467911
n-Decane,0.654666667,0.487270606,,#DIV/0!,#DIV/0!
n-Heptane,0.635333333,0.312241433,7,0.090761905,0.044605919
n-Hexane,0.975,0.51000169,6,0.1625,0.085000282
n-Nonane,0.257333333,0.134110951,,#DIV/0!,#DIV/0!
n-Octane,0.332666667,0.151655993,,#DIV/0!,#DIV/0!
n-Pentane,2.417,1.141460498,5,0.4834,0.2282921
n-Propylbenzene,0.129666667,0.051493778,9,0.014407407,0.005721531
n-Undecane,0.471,0.482095641,,#DIV/0!,#DIV/0!
o-Ethyltoluene,0.173333333,0.083926624,9,0.019259259,0.00932518
o-Xylene,0.8005,0.389610982,8,0.1000625,0.048701373
p-Diethylbenzene,0.207333333,0.129799137,,#DIV/0!,#DIV/0!
p-Ethyltoluene,0.148333333,0.081709466,9,0.016481481,0.00907883
"trans-1,3-Dichloropropene",0.2,0,,#DIV/0!,#DIV/0!
trans-2-Butene,0.045333333,0.02359622,,#DIV/0!,#DIV/0!
trans-2-Pentene,0.106333333,0.067183913,,#DIV/0!,#DIV/0!
